Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
5	0	1	internal://	InInterests	0	0	0	0
5	0	1	internal://	OutInterests	0	0	0	0
5	0	1	internal://	InData	0	0	0	0
5	0	1	internal://	OutData	0	0	0	0
5	0	1	internal://	InNacks	0	0	0	0
5	0	1	internal://	OutNacks	0	0	0	0
5	0	1	internal://	InSatisfiedInterests	0	0	0	0
5	0	1	internal://	InTimedOutInterests	0	0	0	0
5	0	1	internal://	OutSatisfiedInterests	0.32	0	2	0
5	0	1	internal://	OutTimedOutInterests	0	0	0	0
5	0	256	netdev://[00:00:00:00:00:01]	InInterests	0.32	0.0078125	2	0.0488281
5	0	256	netdev://[00:00:00:00:00:01]	OutInterests	0.32	0.0121875	2	0.0761719
5	0	256	netdev://[00:00:00:00:00:01]	InData	0	0	0	0
5	0	256	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
5	0	256	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
5	0	256	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
5	0	256	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
5	0	256	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0.16	0	1	0
5	0	256	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	0	0	0	0
5	0	256	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0.16	0	1	0
5	0	257	internal://	InInterests	0	0	0	0
5	0	257	internal://	OutInterests	0	0	0	0
5	0	257	internal://	InData	0	0	0	0
5	0	257	internal://	OutData	0	0	0	0
5	0	257	internal://	InNacks	0	0	0	0
5	0	257	internal://	OutNacks	0	0	0	0
5	0	257	internal://	InSatisfiedInterests	0.32	0	2	0
5	0	257	internal://	InTimedOutInterests	0	0	0	0
5	0	257	internal://	OutSatisfiedInterests	0	0	0	0
5	0	257	internal://	OutTimedOutInterests	0	0	0	0
5	0	258	appFace://	InInterests	0.32	0.0121875	2	0.0761719
5	0	258	appFace://	OutInterests	0.32	0.0078125	2	0.0488281
5	0	258	appFace://	InData	0	0	0	0
5	0	258	appFace://	OutData	0	0	0	0
5	0	258	appFace://	InNacks	0	0	0	0
5	0	258	appFace://	OutNacks	0	0	0	0
5	0	258	appFace://	InSatisfiedInterests	0	0	0	0
5	0	258	appFace://	InTimedOutInterests	0.16	0	1	0
5	0	258	appFace://	OutSatisfiedInterests	0	0	0	0
5	0	258	appFace://	OutTimedOutInterests	0.16	0	1	0
5	0	-1	all	SatisfiedInterests	0.48	0	3	0
5	0	-1	all	TimedOutInterests	0.32	0	2	0
5	1	1	internal://	InInterests	0	0	0	0
5	1	1	internal://	OutInterests	0	0	0	0
5	1	1	internal://	InData	0	0	0	0
5	1	1	internal://	OutData	0	0	0	0
5	1	1	internal://	InNacks	0	0	0	0
5	1	1	internal://	OutNacks	0	0	0	0
5	1	1	internal://	InSatisfiedInterests	0	0	0	0
5	1	1	internal://	InTimedOutInterests	0	0	0	0
5	1	1	internal://	OutSatisfiedInterests	0.32	0	2	0
5	1	1	internal://	OutTimedOutInterests	0	0	0	0
5	1	256	netdev://[00:00:00:00:00:02]	InInterests	0.32	0.0121875	2	0.0761719
5	1	256	netdev://[00:00:00:00:00:02]	OutInterests	0.32	0.0078125	2	0.0488281
5	1	256	netdev://[00:00:00:00:00:02]	InData	0	0	0	0
5	1	256	netdev://[00:00:00:00:00:02]	OutData	0	0	0	0
5	1	256	netdev://[00:00:00:00:00:02]	InNacks	0	0	0	0
5	1	256	netdev://[00:00:00:00:00:02]	OutNacks	0	0	0	0
5	1	256	netdev://[00:00:00:00:00:02]	InSatisfiedInterests	0	0	0	0
5	1	256	netdev://[00:00:00:00:00:02]	InTimedOutInterests	0.16	0	1	0
5	1	256	netdev://[00:00:00:00:00:02]	OutSatisfiedInterests	0	0	0	0
5	1	256	netdev://[00:00:00:00:00:02]	OutTimedOutInterests	0.16	0	1	0
5	1	257	netdev://[00:00:00:00:00:03]	InInterests	0.32	0.0078125	2	0.0488281
5	1	257	netdev://[00:00:00:00:00:03]	OutInterests	0.32	0.0121875	2	0.0761719
5	1	257	netdev://[00:00:00:00:00:03]	InData	0	0	0	0
5	1	257	netdev://[00:00:00:00:00:03]	OutData	0	0	0	0
5	1	257	netdev://[00:00:00:00:00:03]	InNacks	0	0	0	0
5	1	257	netdev://[00:00:00:00:00:03]	OutNacks	0	0	0	0
5	1	257	netdev://[00:00:00:00:00:03]	InSatisfiedInterests	0	0	0	0
5	1	257	netdev://[00:00:00:00:00:03]	InTimedOutInterests	0.16	0	1	0
5	1	257	netdev://[00:00:00:00:00:03]	OutSatisfiedInterests	0	0	0	0
5	1	257	netdev://[00:00:00:00:00:03]	OutTimedOutInterests	0.16	0	1	0
5	1	258	netdev://[00:00:00:00:00:05]	InInterests	0.16	0.00390625	1	0.0244141
5	1	258	netdev://[00:00:00:00:00:05]	OutInterests	0.16	0.00609375	1	0.0380859
5	1	258	netdev://[00:00:00:00:00:05]	InData	0	0	0	0
5	1	258	netdev://[00:00:00:00:00:05]	OutData	0	0	0	0
5	1	258	netdev://[00:00:00:00:00:05]	InNacks	0	0	0	0
5	1	258	netdev://[00:00:00:00:00:05]	OutNacks	0	0	0	0
5	1	258	netdev://[00:00:00:00:00:05]	InSatisfiedInterests	0	0	0	0
5	1	258	netdev://[00:00:00:00:00:05]	InTimedOutInterests	0	0	0	0
5	1	258	netdev://[00:00:00:00:00:05]	OutSatisfiedInterests	0	0	0	0
5	1	258	netdev://[00:00:00:00:00:05]	OutTimedOutInterests	0.16	0	1	0
5	1	259	internal://	InInterests	0	0	0	0
5	1	259	internal://	OutInterests	0	0	0	0
5	1	259	internal://	InData	0	0	0	0
5	1	259	internal://	OutData	0	0	0	0
5	1	259	internal://	InNacks	0	0	0	0
5	1	259	internal://	OutNacks	0	0	0	0
5	1	259	internal://	InSatisfiedInterests	0.32	0	2	0
5	1	259	internal://	InTimedOutInterests	0	0	0	0
5	1	259	internal://	OutSatisfiedInterests	0	0	0	0
5	1	259	internal://	OutTimedOutInterests	0	0	0	0
5	1	-1	all	SatisfiedInterests	0.32	0	2	0
5	1	-1	all	TimedOutInterests	0.32	0	2	0
5	2	1	internal://	InInterests	0	0	0	0
5	2	1	internal://	OutInterests	0	0	0	0
5	2	1	internal://	InData	0	0	0	0
5	2	1	internal://	OutData	0	0	0	0
5	2	1	internal://	InNacks	0	0	0	0
5	2	1	internal://	OutNacks	0	0	0	0
5	2	1	internal://	InSatisfiedInterests	0	0	0	0
5	2	1	internal://	InTimedOutInterests	0	0	0	0
5	2	1	internal://	OutSatisfiedInterests	0.32	0	2	0
5	2	1	internal://	OutTimedOutInterests	0	0	0	0
5	2	256	netdev://[00:00:00:00:00:04]	InInterests	0.32	0.0121875	2	0.0761719
5	2	256	netdev://[00:00:00:00:00:04]	OutInterests	0.32	0.0078125	2	0.0488281
5	2	256	netdev://[00:00:00:00:00:04]	InData	0	0	0	0
5	2	256	netdev://[00:00:00:00:00:04]	OutData	0	0	0	0
5	2	256	netdev://[00:00:00:00:00:04]	InNacks	0	0	0	0
5	2	256	netdev://[00:00:00:00:00:04]	OutNacks	0	0	0	0
5	2	256	netdev://[00:00:00:00:00:04]	InSatisfiedInterests	0	0	0	0
5	2	256	netdev://[00:00:00:00:00:04]	InTimedOutInterests	0.16	0	1	0
5	2	256	netdev://[00:00:00:00:00:04]	OutSatisfiedInterests	0	0	0	0
5	2	256	netdev://[00:00:00:00:00:04]	OutTimedOutInterests	0.16	0	1	0
5	2	257	netdev://[00:00:00:00:00:08]	InInterests	0.32	0.0078125	2	0.0488281
5	2	257	netdev://[00:00:00:00:00:08]	OutInterests	0.32	0.0121875	2	0.0761719
5	2	257	netdev://[00:00:00:00:00:08]	InData	0	0	0	0
5	2	257	netdev://[00:00:00:00:00:08]	OutData	0	0	0	0
5	2	257	netdev://[00:00:00:00:00:08]	InNacks	0	0	0	0
5	2	257	netdev://[00:00:00:00:00:08]	OutNacks	0	0	0	0
5	2	257	netdev://[00:00:00:00:00:08]	InSatisfiedInterests	0	0	0	0
5	2	257	netdev://[00:00:00:00:00:08]	InTimedOutInterests	0.16	0	1	0
5	2	257	netdev://[00:00:00:00:00:08]	OutSatisfiedInterests	0	0	0	0
5	2	257	netdev://[00:00:00:00:00:08]	OutTimedOutInterests	0.16	0	1	0
5	2	258	internal://	InInterests	0	0	0	0
5	2	258	internal://	OutInterests	0	0	0	0
5	2	258	internal://	InData	0	0	0	0
5	2	258	internal://	OutData	0	0	0	0
5	2	258	internal://	InNacks	0	0	0	0
5	2	258	internal://	OutNacks	0	0	0	0
5	2	258	internal://	InSatisfiedInterests	0.32	0	2	0
5	2	258	internal://	InTimedOutInterests	0	0	0	0
5	2	258	internal://	OutSatisfiedInterests	0	0	0	0
5	2	258	internal://	OutTimedOutInterests	0	0	0	0
5	2	-1	all	SatisfiedInterests	0.32	0	2	0
5	2	-1	all	TimedOutInterests	0.32	0	2	0
5	3	1	internal://	InInterests	0	0	0	0
5	3	1	internal://	OutInterests	0	0	0	0
5	3	1	internal://	InData	0	0	0	0
5	3	1	internal://	OutData	0	0	0	0
5	3	1	internal://	InNacks	0	0	0	0
5	3	1	internal://	OutNacks	0	0	0	0
5	3	1	internal://	InSatisfiedInterests	0	0	0	0
5	3	1	internal://	InTimedOutInterests	0	0	0	0
5	3	1	internal://	OutSatisfiedInterests	0.32	0	2	0
5	3	1	internal://	OutTimedOutInterests	0	0	0	0
5	3	256	netdev://[00:00:00:00:00:06]	InInterests	0.16	0.00609375	1	0.0380859
5	3	256	netdev://[00:00:00:00:00:06]	OutInterests	0.16	0.00390625	1	0.0244141
5	3	256	netdev://[00:00:00:00:00:06]	InData	0	0	0	0
5	3	256	netdev://[00:00:00:00:00:06]	OutData	0	0	0	0
5	3	256	netdev://[00:00:00:00:00:06]	InNacks	0	0	0	0
5	3	256	netdev://[00:00:00:00:00:06]	OutNacks	0	0	0	0
5	3	256	netdev://[00:00:00:00:00:06]	InSatisfiedInterests	0	0	0	0
5	3	256	netdev://[00:00:00:00:00:06]	InTimedOutInterests	0.16	0	1	0
5	3	256	netdev://[00:00:00:00:00:06]	OutSatisfiedInterests	0	0	0	0
5	3	256	netdev://[00:00:00:00:00:06]	OutTimedOutInterests	0.16	0	1	0
5	3	257	netdev://[00:00:00:00:00:09]	InInterests	0.16	0.00390625	1	0.0244141
5	3	257	netdev://[00:00:00:00:00:09]	OutInterests	0.16	0.00609375	1	0.0380859
5	3	257	netdev://[00:00:00:00:00:09]	InData	0	0	0	0
5	3	257	netdev://[00:00:00:00:00:09]	OutData	0	0	0	0
5	3	257	netdev://[00:00:00:00:00:09]	InNacks	0	0	0	0
5	3	257	netdev://[00:00:00:00:00:09]	OutNacks	0	0	0	0
5	3	257	netdev://[00:00:00:00:00:09]	InSatisfiedInterests	0	0	0	0
5	3	257	netdev://[00:00:00:00:00:09]	InTimedOutInterests	0.16	0	1	0
5	3	257	netdev://[00:00:00:00:00:09]	OutSatisfiedInterests	0	0	0	0
5	3	257	netdev://[00:00:00:00:00:09]	OutTimedOutInterests	0.16	0	1	0
5	3	258	internal://	InInterests	0	0	0	0
5	3	258	internal://	OutInterests	0	0	0	0
5	3	258	internal://	InData	0	0	0	0
5	3	258	internal://	OutData	0	0	0	0
5	3	258	internal://	InNacks	0	0	0	0
5	3	258	internal://	OutNacks	0	0	0	0
5	3	258	internal://	InSatisfiedInterests	0.32	0	2	0
5	3	258	internal://	InTimedOutInterests	0	0	0	0
5	3	258	internal://	OutSatisfiedInterests	0	0	0	0
5	3	258	internal://	OutTimedOutInterests	0	0	0	0
5	3	-1	all	SatisfiedInterests	0.32	0	2	0
5	3	-1	all	TimedOutInterests	0.32	0	2	0
5	4	1	internal://	InInterests	0	0	0	0
5	4	1	internal://	OutInterests	0	0	0	0
5	4	1	internal://	InData	0	0	0	0
5	4	1	internal://	OutData	0	0	0	0
5	4	1	internal://	InNacks	0	0	0	0
5	4	1	internal://	OutNacks	0	0	0	0
5	4	1	internal://	InSatisfiedInterests	0	0	0	0
5	4	1	internal://	InTimedOutInterests	0	0	0	0
5	4	1	internal://	OutSatisfiedInterests	0.32	0	2	0
5	4	1	internal://	OutTimedOutInterests	0	0	0	0
5	4	256	netdev://[00:00:00:00:00:07]	InInterests	0.48	0.0182813	3	0.114258
5	4	256	netdev://[00:00:00:00:00:07]	OutInterests	0.48	0.0117188	3	0.0732422
5	4	256	netdev://[00:00:00:00:00:07]	InData	0	0	0	0
